"Country","City/Town","Address/Location","Latitude","Longitude","Coordinates","Location Type","ID #","Incident Reporting Date","Incident Start Date","Incident End Date","Trafficking Type","Trafficking Sub-Type","Recruitment Method","Control Method","Transportation Method","Trafficker Nationality","Trafficker Gender","Trafficker Age","Victim Nationality","Victim Gender","Victim Age","Incident Summary","URL Source Article","Info Source","BoI Name","BOI Type","BoI Location","BoI Open Hours","Data Provider","Data Source"
"Jordan","","","","","31.95522,35.94503","Unknown","600e1fd9c1c15948264d3eb9","","","","Child Labour","Pre-School/Child Day Care Service","","Forced","CAR","","","","","","","","http://www.straitstimes.com/world/middle-east/covid-19-pandemic-forces-jordanian-children-into-labour-market","Internet/URL","","","","","","tah"
"Mexico","","","","","27.33032,-99.59479","Unknown","600e29f36d1179f8bd82b424","","","","Child Trafficking","Illicit Activities","","Minor","","","","","","","","","https://elkodaily.com/opinion/letters/letter-beer-distributors-vs-human-trafficking/article_94453221-591b-5376-8049-39e18d2a0af6.html","Internet/URL","","","","","","tah"
"United States","","","","","39.25021,-116.75119","Reference","600e29f36d1179f8bd82b424","","","","Child Trafficking","Illicit Activities","","Minor","","","","","","","","","https://elkodaily.com/opinion/letters/letter-beer-distributors-vs-human-trafficking/article_94453221-591b-5376-8049-39e18d2a0af6.html","Internet/URL","","","","","","tah"
"United States","","","","","43.02172,-87.92908","Source","600e29f36d1179f8bd82b41f","","","","Child Trafficking","","","Minor","AIRPORT","","","","","","","","https://www.jsonline.com/story/news/2021/01/23/milwaukee-airport-announces-campaign-identify-human-trafficking/6662260002/","Internet/URL","","","","","","tah"
"United States","","","","","37.25022,-119.75126","Unknown","600e29f36d1179f8bd82b408","","","","Child Trafficking","Illicit Activities","","Minor","CAR","","","","","","","","https://www.kget.com/news/crime-watch/sting-police-make-three-arrests-in-human-trafficking-bust/","Internet/URL","","","","","","tah"
"United States","","","","","42.36565,-71.10832","Source","600e29f36d1179f8bd82b40f","","","","Child Trafficking","Illicit Activities","","Minor","TRUCK","","","","","","","","https://associationsnow.com/2021/01/beer-distributors-aid-in-combating-human-trafficking/","Internet/URL","","","","","","tah"
"United States","","","","","39.25024,-111.75103","Arrest","600e29f36d1179f8bd82b40f","","","","Child Trafficking","Illicit Activities","","Minor","TRUCK","","","","","","","","https://associationsnow.com/2021/01/beer-distributors-aid-in-combating-human-trafficking/","Internet/URL","","","","","","tah"
"United States","","","","","44.50024,-90.00041","Source","600e29f36d1179f8bd82b40f","","","","Child Trafficking","Illicit Activities","","Minor","TRUCK","","","","","","","","https://associationsnow.com/2021/01/beer-distributors-aid-in-combating-human-trafficking/","Internet/URL","","","","","","tah"
"United States","","","","","33.749,-84.38798","Target","600e29f36d1179f8bd82b40f","","","","Child Trafficking","Illicit Activities","","Minor","TRUCK","","","","","","","","https://associationsnow.com/2021/01/beer-distributors-aid-in-combating-human-trafficking/","Internet/URL","","","","","","tah"
"United States","","","","","47.50012,-120.50147","Unknown","600e29f36d1179f8bd82b404","","","","Child Trafficking","Sexual Servitude","","Minor","","","","","","","","","https://fox8.com/news/fbi-33-missing-children-rescued-during-human-trafficking-awareness-month/","Internet/URL","","","","","","tah"
